# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2868.85,4.37322e-45,0.305326,2,5,1,2870.17,357.042,5.86299,-3.41286,1.11233,-0.405386,-1.26303,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2870.31,357.042,5.86299,-3.41286,-0.117487,-1.30249,1.7392,0.143736,-12.8324,-0.170652
-2868.85,1.74845e-19,0.305326,1,1,0,2871.91,357.042,5.86299,-3.41286,1.47057,2.32571,1.46907,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2870.1,357.042,5.86299,-3.41286,-1.11608,1.39438,-0.684999,0.143736,-12.8324,-0.170652
-2868.85,6.134e-74,0.305326,2,3,0,2869.68,357.042,5.86299,-3.41286,-1.14227,-0.260199,-0.463725,0.143736,-12.8324,-0.170652
-2868.85,6.00098e-227,0.305326,1,1,0,2872.37,357.042,5.86299,-3.41286,-0.908082,3.59549,1.23006,0.143736,-12.8324,-0.170652
-2868.85,4.88516e-60,0.305326,1,3,1,2869.07,357.042,5.86299,-3.41286,0.194368,-0.242986,-0.703102,0.143736,-12.8324,-0.170652
-2868.85,2.69027e-05,0.305326,1,1,0,2871.04,357.042,5.86299,-3.41286,-0.853179,-2.61246,1.12538,0.143736,-12.8324,-0.170652
-2868.85,9.54626e-113,0.305326,1,2,1,2869.14,357.042,5.86299,-3.41286,-0.319702,-0.295628,-0.767762,0.143736,-12.8324,-0.170652
-2868.85,0.000783399,0.305326,1,1,0,2869.88,357.042,5.86299,-3.41286,0.388263,-2.18152,-0.279432,0.143736,-12.8324,-0.170652
-2868.85,2.56746e-65,0.305326,1,3,1,2871.61,357.042,5.86299,-3.41286,-0.995229,1.71562,2.09714,0.143736,-12.8324,-0.170652
-2868.85,0.00909406,0.305326,1,3,1,2871.39,357.042,5.86299,-3.41286,-1.88523,-1.60185,-0.312191,0.143736,-12.8324,-0.170652
-2868.85,5.16887e-07,0.305326,1,2,1,2869.62,357.042,5.86299,-3.41286,-0.859372,1.33575,0.140954,0.143736,-12.8324,-0.170652
-2868.85,1.05933e-09,0.305326,1,2,1,2869.54,357.042,5.86299,-3.41286,-0.852952,-1.14196,0.268816,0.143736,-12.8324,-0.170652
-2868.85,1.23141e-08,0.305326,1,1,0,2870.16,357.042,5.86299,-3.41286,-0.391312,-2.26425,-0.802372,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,1,1,0,2870.52,357.042,5.86299,-3.41286,-1.54323,1.05836,-0.542068,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2870.12,357.042,5.86299,-3.41286,-0.203833,1.41531,-1.52793,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2875.56,357.042,5.86299,-3.41286,2.28336,3.54475,-1.90129,0.143736,-12.8324,-0.170652
-2868.85,1.37984e-43,0.305326,1,3,1,2872.14,357.042,5.86299,-3.41286,-2.34052,-0.752195,-0.468624,0.143736,-12.8324,-0.170652
-2868.85,1.5337e-121,0.305326,1,1,0,2869.36,357.042,5.86299,-3.41286,0.199877,-1.12921,-0.805828,0.143736,-12.8324,-0.170652
-2868.85,1.48664e-184,0.305326,1,1,0,2869.36,357.042,5.86299,-3.41286,-0.862859,0.684793,-0.105678,0.143736,-12.8324,-0.170652
-2868.85,1.57701e-07,0.305326,1,3,1,2869.3,357.042,5.86299,-3.41286,-0.455583,-1.21104,0.369838,0.143736,-12.8324,-0.170652
-2868.85,0,0.305326,0,1,1,2871.55,357.042,5.86299,-3.41286,0.537397,3.5194,0.642542,0.143736,-12.8324,-0.170652
-2868.85,3.48757e-146,0.305326,1,1,0,2872.14,357.042,5.86299,-3.41286,0.966047,3.67682,0.651347,0.143736,-12.8324,-0.170652
