# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_1.data.R
# init = 2 (Default)
# random
#   seed = 1286197944 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_1.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.305326
# Diagonal elements of inverse mass matrix:
# 1.13052, 0.385089, 0.741755
-2868.91,0,0.305326,0,1,1,2869.86,356.984,5.86233,0.0258981,362.656
-2868.91,8.48791e-36,0.305326,1,2,1,2870.51,356.984,5.86233,0.0258981,358.337
-2868.91,0,0.305326,0,1,1,2869.28,356.984,5.86233,0.0258981,340.965
-2868.91,0,0.305326,1,2,1,2869.41,356.984,5.86233,0.0258981,370.967
-2868.91,0,0.305326,0,1,1,2871.63,356.984,5.86233,0.0258981,360.704
-2868.91,0,0.305326,0,1,1,2869.37,356.984,5.86233,0.0258981,349.633
-2868.91,0,0.305326,0,1,1,2870.7,356.984,5.86233,0.0258981,359.93
-2868.91,2.47753e-78,0.305326,1,2,1,2871.04,356.984,5.86233,0.0258981,353.75
-2868.91,3.19511e-56,0.305326,1,2,1,2871.85,356.984,5.86233,0.0258981,340.63
-2868.91,7.02785e-264,0.305326,1,2,1,2869.67,356.984,5.86233,0.0258981,347.367
-2868.91,3.52903e-276,0.305326,1,2,1,2869.54,356.984,5.86233,0.0258981,338.786
-2868.91,4.37819e-309,0.305326,1,2,1,2870.35,356.984,5.86233,0.0258981,347.174
-2868.91,0,0.305326,0,1,1,2869.5,356.984,5.86233,0.0258981,350.279
-2868.91,0,0.305326,0,1,1,2869.32,356.984,5.86233,0.0258981,347.678
-2868.91,0,0.305326,0,1,1,2870.24,356.984,5.86233,0.0258981,359.438
-2868.91,4.22333e-82,0.305326,2,4,1,2870.68,356.984,5.86233,0.0258981,353.882
-2868.91,0,0.305326,0,1,1,2869.49,356.984,5.86233,0.0258981,346.365
-2868.91,0,0.305326,1,2,1,2869.07,356.984,5.86233,0.0258981,351.623
-2868.91,0,0.305326,0,1,1,2869.4,356.984,5.86233,0.0258981,359.935
-2868.91,0,0.305326,0,1,1,2870.19,356.984,5.86233,0.0258981,363.829
-2868.91,3.5556e-92,0.305326,1,2,1,2871.44,356.984,5.86233,0.0258981,331.308
-2868.91,2.99098e-164,0.305326,1,2,1,2870.17,356.984,5.86233,0.0258981,366.578
-2868.91,2.01521e-87,0.305326,1,3,1,2869.85,356.984,5.86233,0.0258981,343.938
-2868.91,0,0.305326,0,1,1,2869.66,356.984,5.86233,0.0258981,341.404
-2868.91,0,0.305326,0,1,1,2869.2,356.984,5.86233,0.0258981,347.616
-2868.91,0,0.305326,0,1,1,2870.45,356.984,5.86233,0.0258981,356.469
-2868.91,0,0.305326,0,1,1,2870.01,356.984,5.86233,0.0258981,354.273
-2868.91,0,0.305326,0,1,1,2869.84,356.984,5.86233,0.0258981,364.066
-2868.91,0,0.305326,0,1,1,2869.21,356.984,5.86233,0.0258981,354.513
-2868.91,0,0.305326,0,1,1,2869.33,356.984,5.86233,0.0258981,354.404
-2868.91,0,0.305326,0,1,1,2869.43,356.984,5.86233,0.0258981,350.125
-2868.91,8.39512e-185,0.305326,1,2,1,2870.16,356.984,5.86233,0.0258981,343.076
-2868.91,0,0.305326,0,1,1,2870.31,356.984,5.86233,0.0258981,344.704
-2868.91,0,0.305326,0,1,1,2869.38,356.984,5.86233,0.0258981,369.382
-2868.91,0,0.305326,1,2,1,2869.19,356.984,5.86233,0.0258981,344.407
-2868.93,0.496755,0.305326,1,1,0,2871.92,357.088,5.86347,0.0235424,347.308
-2868.93,0,0.305326,0,1,1,2870.14,357.088,5.86347,0.0235424,350.716
-2868.93,0,0.305326,0,1,1,2869.61,357.088,5.86347,0.0235424,349.22
-2868.93,0,0.305326,0,1,1,2871.09,357.088,5.86347,0.0235424,359.304
-2868.93,0,0.305326,0,1,1,2869.19,357.088,5.86347,0.0235424,344.825
-2868.93,0,0.305326,0,1,1,2869.38,357.088,5.86347,0.0235424,339.269
-2868.93,0,0.305326,0,1,1,2871.87,357.088,5.86347,0.0235424,357.105
-2868.93,0,0.305326,0,1,1,2869.22,357.088,5.86347,0.0235424,365.039
-2868.93,0,0.305326,0,1,1,2870.52,357.088,5.86347,0.0235424,353.632
-2868.93,0,0.305326,0,1,1,2870.42,357.088,5.86347,0.0235424,340.963
-2868.93,0,0.305326,0,1,1,2871.18,357.088,5.86347,0.0235424,361.142
-2868.93,0,0.305326,0,1,1,2869.31,357.088,5.86347,0.0235424,350.606
-2868.93,8.82793e-85,0.305326,1,2,1,2870.48,357.088,5.86347,0.0235424,349.669
-2868.93,5.10985e-122,0.305326,1,2,1,2870.77,357.088,5.86347,0.0235424,359.758
-2868.93,0,0.305326,0,1,1,2870.08,357.088,5.86347,0.0235424,340.581
-2868.93,0,0.305326,0,1,1,2868.99,357.088,5.86347,0.0235424,361.22
-2868.93,2.54948e-119,0.305326,1,2,1,2870.24,357.088,5.86347,0.0235424,338.018
-2868.93,0,0.305326,0,1,1,2869.93,357.088,5.86347,0.0235424,356.405
-2868.93,0,0.305326,0,1,1,2870.35,357.088,5.86347,0.0235424,344.395
-2868.93,0,0.305326,0,1,1,2870.86,357.088,5.86347,0.0235424,359.517
-2868.93,0,0.305326,0,1,1,2873.28,357.088,5.86347,0.0235424,351.602
-2868.93,0,0.305326,0,1,1,2870.91,357.088,5.86347,0.0235424,359.165
-2868.93,0,0.305326,0,1,1,2869.72,357.088,5.86347,0.0235424,356.963
-2868.93,0,0.305326,0,1,1,2868.98,357.088,5.86347,0.0235424,341.993
-2868.93,0,0.305326,0,1,1,2870.24,357.088,5.86347,0.0235424,362.954
-2868.93,4.09101e-110,0.305326,1,2,1,2871.83,357.088,5.86347,0.0235424,352.536
-2868.93,0,0.305326,0,1,1,2869.09,357.088,5.86347,0.0235424,345.135
-2868.93,0,0.305326,0,1,1,2869.66,357.088,5.86347,0.0235424,352.059
-2868.93,2.40231e-128,0.305326,1,2,1,2870.32,357.088,5.86347,0.0235424,344.742
