# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# start_datetime = 2022-09-16 08:52:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_3.data.R
# init = 2 (Default)
# random
#   seed = 1286198000 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_3.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_3.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,strength_post_pred
# Adaptation terminated
# Step size = 0.361486
# Diagonal elements of inverse mass matrix:
# 1.12195, 0.527609, 0.581203
-2869.65,0.984921,0.361486,3,7,0,2869.67,356.427,6.07784,0.577513,327.826
-2870.4,0.959344,0.361486,2,7,0,2871.94,357.848,6.29798,0.458889,1597.49
-2869.98,0.982528,0.361486,2,3,0,2870.79,357.437,6.24031,0.46574,235.11
-2869.32,0.962322,0.361486,2,7,0,2870.65,356.707,5.73471,0.674794,158.417
-2870.01,0.977858,0.361486,2,7,0,2870.5,357.45,6.16597,0.82183,474.528
-2869.75,0.996901,0.361486,3,11,0,2870.48,357.144,5.24231,1.22988,109.049
-2869.5,0.968452,0.361486,3,13,0,2870.04,357.618,5.44336,0.540124,325.903
-2872.05,0.935552,0.361486,4,15,0,2872.47,358.69,5.74143,2.16575,37787.6
-2870.83,0.980054,0.361486,3,7,0,2874.19,358.51,6.12815,0.789888,228.525
-2870.2,0.636951,0.361486,4,15,0,2872.51,357.407,4.68227,1.29058,462.498
-2869.57,0.988599,0.361486,3,7,0,2870.82,357.318,5.79024,0.853687,726.191
-2871.12,0.956145,0.361486,2,7,0,2872.28,356.524,6.31328,1.83591,15.3744
-2871.65,0.980185,0.361486,3,7,0,2872.81,356.738,6.88012,0.860453,2059.87
-2871.38,0.998404,0.361486,3,7,0,2872.31,358.057,4.39601,0.866992,43.3172
-2869.51,1,0.361486,3,15,0,2872.54,356.493,5.81465,0.769475,487.212
-2869.73,0.996923,0.361486,3,7,0,2869.85,355.973,5.38495,0.515012,334.03
-2871.61,0.818343,0.361486,2,7,0,2878.75,357.753,4.15113,2.3676,55735.2
-2871.15,0.99481,0.361486,4,15,0,2872.98,356.141,6.52274,0.471237,651.329
-2870.96,0.689546,0.361486,2,7,0,2873.68,356.301,6.20988,1.7211,321.12
-2872.97,0.55267,0.361486,2,7,0,2875.19,356.186,6.50322,3.27699,804.816
-2872.03,0.903372,0.361486,3,7,0,2874.16,358.22,5.14276,0.319204,154.826
-2870.18,0.968546,0.361486,2,3,0,2873.02,357.642,6.27791,0.585886,421.762
-2869.88,0.928956,0.361486,2,7,0,2871.11,357.414,5.8055,1.11792,449.592
-2871.07,0.963696,0.361486,3,7,0,2871.51,358.599,5.34708,0.34662,260.71
-2870.52,1,0.361486,4,15,0,2871.33,358.755,5.6722,0.519781,609.999
