# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = strength_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_2.data.R
# init = 2 (Default)
# random
#   seed = 1286197972 (Default)
# output
#   file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_samples_2.csv
#   diagnostic_file = /Users/ddifrancesco/Github/DCE_guidance/tmp/strength_model_diagnostics_2.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,strength,strength_m_log,strength_sd_log,p_strength,p_strength_m_log,p_strength_sd_log,g_strength,g_strength_m_log,g_strength_sd_log
-2869.46,0.998419,0.404006,3,7,0,2869.69,356.946,5.59492,-0.108953,0.524509,-0.37899,0.126281,0.0298069,0.243426,0.797417
-2869.48,0.992427,0.404006,3,7,0,2869.91,357.057,5.59639,-0.0934006,0.213829,-1.17983,-0.158233,0.118077,0.257066,0.815307
-2870.46,0.964505,0.404006,3,7,0,2870.72,356.644,6.42873,-0.1377,-0.087956,-0.550462,-0.663262,-0.215142,2.15573,0.470059
-2870.05,0.924375,0.404006,2,5,0,2870.84,356.965,6.29736,-0.379097,-0.587482,1.02806,0.826322,0.0410277,2.19322,0.308466
-2869.26,0.997163,0.404006,2,3,0,2870.14,357.381,5.76217,-0.649171,0.071895,-1.66405,-0.522995,0.378019,0.334906,0.472645
-2869.56,0.783579,0.404006,2,5,0,2871.17,357.202,5.5546,-1.35249,0.382654,0.0585555,1.96168,0.247035,-4.28609,-1.30836
-2869.13,0.996718,0.404006,2,7,0,2870.81,356.412,5.73012,-1.43823,1.38797,-1.15757,0.242898,-0.391183,-1.86094,-0.140857
-2870.73,0.657893,0.404006,3,7,0,2872.29,358.684,5.76353,-0.17859,-0.822807,-0.891261,-1.50376,1.41991,0.593576,0.816239
-2870.26,0.800282,0.404006,3,7,0,2874.79,356.228,6.2027,-1.31844,2.26397,0.567748,1.62248,-0.558164,5.77252,-1.22736
-2869.09,0.393358,0.404006,2,3,0,2870.08,356.257,5.80921,-1.56491,0.157926,-1.6088,-0.801915,-0.518126,-0.710245,0.108155
-2869.44,0.399099,0.404006,2,7,1,2870.76,355.914,5.72289,-1.01231,0.476497,0.298211,-1.7108,-0.793468,-0.426719,0.188868
-2870.06,0.801484,0.404006,1,3,0,2871.39,356.504,5.29213,-0.995504,-1.15794,1.11308,-0.483427,-0.313136,-3.986,-2.1298
-2869.43,0.776555,0.404006,2,3,0,2871.19,356.17,5.70705,-0.545157,-0.500981,1.80608,1.32525,-0.590962,0.206155,0.495422
-2869.75,0.838557,0.404006,3,7,0,2872.89,357.724,5.94986,-0.366503,0.209462,2.52553,1.85037,0.650342,1.09576,0.682927
-2870.88,0.91914,0.404006,3,7,0,2872.08,356.648,4.74418,0.865399,0.711241,1.7368,-0.223853,-0.209253,-0.456442,2.14873
-2870.97,0.973689,0.404006,3,7,0,2872.23,358.269,4.98095,-0.601888,-0.535268,-1.50818,1.05692,1.09532,-3.01959,-2.15372
-2869.92,1,0.404006,3,7,0,2871.21,356.648,5.38049,0.355972,-1.14605,0.916254,0.683618,-0.208701,0.136985,1.30672
-2872.25,0.90614,0.404006,2,3,0,2872.61,357.491,4.64417,-0.721644,0.656152,-0.208715,-0.389496,0.478977,-5.58529,-5.97211
-2873.03,0.666418,0.404006,3,7,0,2873.81,356.578,6.85293,1.05838,0.414798,-1.46933,0.396096,-0.265958,1.97051,2.76691
-2872.4,1,0.404006,2,3,0,2873.01,356.637,6.8158,0.83336,0.153454,-0.567972,-1.14336,-0.219086,1.99316,2.13448
-2870.83,1,0.404006,2,3,0,2872.59,357.158,6.25337,0.505353,-0.446065,1.88896,1.27354,0.197709,1.38993,1.60633
-2870.74,0.962383,0.404006,3,7,0,2872.15,358.704,5.42883,-0.113666,0.238006,-1.54411,-1.35218,1.43646,-0.140625,0.634214
-2872.35,0.966094,0.404006,3,7,0,2873.48,357.674,6.75436,-0.767936,-1.23686,-0.57374,0.245669,0.599386,5.81787,-3.09055
-2872.02,1,0.404006,1,1,0,2872.59,357.69,6.73498,-0.682055,0.0933917,1.11272,-0.747827,0.614646,5.08118,-2.35648
-2870.72,0.814059,0.404006,3,7,0,2874.23,356.776,4.62009,0.75867,0.625337,2.32057,2.11578,-0.106872,-0.655564,1.78893
-2869.81,0.961108,0.404006,2,7,0,2873.67,355.826,5.80393,-0.388449,-0.59917,2.54611,-2.15379,-0.867039,0.650578,0.667295
-2870.46,0.999387,0.404006,3,7,0,2871.09,357.718,4.6312,0.338509,0.591802,-0.68057,-0.820398,0.648432,-1.00322,0.610749
-2871.98,0.865796,0.404006,2,3,0,2872.77,357.214,4.75613,1.26146,0.569492,-0.431099,1.14847,0.243582,-0.333902,3.42952
-2871.87,0.956273,0.404006,2,7,0,2875.46,355.014,6.43583,-0.163736,-0.701801,1.74373,-2.48404,-1.51909,2.21791,0.408127
-2870.58,0.992237,0.404006,3,7,0,2872.29,357.692,4.59845,-0.10901,1.3107,0.125001,1.2037,0.630231,-1.99489,-1.14471
-2870.99,0.796261,0.404006,2,5,0,2873.53,357.395,4.20081,0.600583,0.631562,1.50738,-2.04867,0.388978,-1.30402,0.976066
-2870.6,0.990285,0.404006,3,7,0,2871.67,355.916,4.67638,0.408155,0.62762,-1.29238,0.926625,-0.793893,-0.853343,0.869264
-2870.88,0.96717,0.404006,3,7,0,2871.59,357.161,6.48032,-0.850489,1.02544,0.178981,-0.0750504,0.191743,4.77958,-1.55938
